codigo,descripcion,valor_en_inventario,moneda
1,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
2,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
3,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
4,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
5,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
6,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
7,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
8,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
9,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
10,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
11,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
12,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
13,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
14,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
15,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
16,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
17,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
18,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
19,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
20,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
21,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
22,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
23,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
24,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
25,MESA BIPERSONAL METALICA,545.45,PESOS
26,MESA DE MADERA CON ESTRUCTURA METALICA,554.0,PESOS
27,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
28,SILLA FIJA CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
29,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
30,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
31,PANTALLA COLGANTE MCA. DA-LITE,4193.69,PESOS
32,BOCINA MCA JBL,7094.35,PESOS
33,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
34,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
35,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
36,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
37,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
38,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
39,VIDEO PROYECTOR MCA. EPSON MOD. POWER LITE X27,11873.75,PESOS
40,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
41,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
42,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
43,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
44,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
45,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
46,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
47,SILLA FIJA CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
48,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
49,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
50,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
51,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
52,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
53,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
54,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
55,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
56,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
57,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
58,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
59,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,1500.0,PESOS
60,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
61,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
62,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
63,AMPLIFICADOR DE SONIDO 4 ENTRADAS ASAJI,3728.55,PESOS
64,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
65,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
66,MESA DE MADERA CON ESTRUCTURA METALICA,554.0,PESOS
67,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
68,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
69,SILLA FIJA TAPIZADA EN TELA AZUL,1500.0,PESOS
70,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
71,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
72,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
73,SILLA FIJA ESTRUCTURA METALICA TAPIZADA EN VINIL NEGRO,1500.0,PESOS
74,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
75,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
76,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
77,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
78,VENTILADOR DE PEDESTAL 18 PULGADAS MCA. IMAGE LAND MOD. CL4502,750.0,PESOS
79,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
80,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
81,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
82,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
83,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
84,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
85,CPU,5022.0,PESOS
86,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
87,EQUIPO DE COMPUTO,8747.03,PESOS
88,MONITOR LENOVO,2152.0,PESOS
89,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
90,MONITOR MCA. DELL,2152.0,PESOS
91,MONITOR LENOVO,2152.0,PESOS
92,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
93,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
